date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-11,CUS22765337412,12,3000,USD,WEB PAGE,0.305
2022-09-11,CUS76878838136,36,7400,USD,WEB PAGE,0.345
2022-09-11,CUS75818429548,48,11000,USD,WEB PAGE,0.35
2022-09-11,CUS82206028536,36,25000,USD,WEB PAGE,0.195
2022-09-11,CUS19283740036,36,20000,USD,AGENCY,0.2
2022-09-11,CUS57415593148,48,2000,USD,WEB PAGE,0.27
2022-09-11,CUS45275410460,60,28700,USD,AGENCY,0.225
2022-09-11,CUS46519254524,24,22800,USD,WEB PAGE,0.2
2022-09-11,CUS46116588624,24,61700,USD,WEB PAGE,0.385
2022-09-11,CUS21628681760,60,25979,USD,WEB PAGE,0.155
2022-09-11,CUS65578407460,60,41600,USD,WEB PAGE,0.26
2022-09-11,CUS81304184660,60,18877.09,USD,WEB PAGE,0.165
2022-09-11,CUS56308906824,24,5700,USD,WEB PAGE,0.365
2022-09-11,CUS32574382248,48,12200,USD,WEB PAGE,0.155
2022-09-11,CUS92439909236,36,18200,USD,WEB PAGE,0.165
2022-09-11,CUS82346842624,24,103785,USD,WEB PAGE,0.175
2022-09-11,CUS14053284236,36,20300,USD,WEB PAGE,0.24
2022-09-11,CUS15498182848,48,27000,USD,AGENCY,0.235
2022-09-11,CUS52382485724,24,140000,USD,AGENCY,0.235
2022-09-11,CUS19729065536,36,20000,USD,AGENCY,0.24
2022-09-11,CUS38022473760,60,80000,USD,WEB PAGE,0.28
2022-09-11,CUS67714176060,60,13134,USD,WEB PAGE,0.169
2022-09-11,CUS37962916236,36,24500,USD,AGENCY,0.24
2022-09-11,CUS59987062448,48,16000,USD,WEB PAGE,0.169
2022-09-11,CUS73325848836,36,60002,USD,WEB PAGE,0.155
2022-09-11,CUS35757767536,36,5000,USD,WEB PAGE,0.265
2022-09-11,CUS60800269036,36,40000,USD,WEB PAGE,0.395
2022-09-11,CUS85997985360,60,39000,USD,WEB PAGE,0.189
2022-09-11,CUS81954614824,24,38000,USD,AGENCY,0.189
2022-09-11,CUS45077012936,36,38000,USD,AGENCY,0.189
2022-09-11,CUS58995391048,48,25900,USD,CONTACT CENTER,0.1
2022-09-11,CUS48376576960,60,49693.24,USD,WEB PAGE,0.175
2022-09-11,CUS78127315136,36,20850,USD,WEB PAGE,0.139
2022-09-11,CUS83805817348,48,68800,USD,WEB PAGE,0.125
2022-09-11,CUS45811653436,36,25000,USD,WEB PAGE,0.165
2022-09-11,CUS77831970836,36,32000,USD,WEB PAGE,0.245
2022-09-11,CUS64939095048,48,8400,USD,CONTACT CENTER,0.395
2022-09-11,CUS40121466748,48,21000,USD,WEB PAGE,0.225
2022-09-11,CUS58412005660,60,32000,USD,WEB PAGE,0.155
2022-09-11,CUS22853231312,12,3000,USD,WEB PAGE,0.395
2022-09-11,CUS52400748448,48,25000,USD,WEB PAGE,0.39
2022-09-11,CUS22201581148,48,31000,USD,AGENCY,0.25
2022-09-11,CUS86320159436,36,50000,USD,WEB PAGE,0.195
2022-09-11,CUS94911104124,24,14000,USD,WEB PAGE,0.149
2022-09-11,CUS52838730224,24,10000,USD,WEB PAGE,0.205
2022-09-11,CUS37665795836,36,65000,USD,AGENCY,0.235
2022-09-11,CUS81348675660,60,61500,USD,WEB PAGE,0.22
2022-09-11,CUS53731635960,60,18456,USD,WEB PAGE,0.23
2022-09-11,CUS65311762436,36,40000,USD,WEB PAGE,0.125
2022-09-11,CUS53228534748,48,73000,USD,WEB PAGE,0.39
2022-09-11,CUS87604224736,36,13300,USD,WEB PAGE,0.125
2022-09-11,CUS92317108260,60,62100,USD,WEB PAGE,0.39
2022-09-11,CUS80360439224,24,20951,USD,WEB PAGE,0.33
2022-09-11,CUS72331613124,24,18600,USD,WEB PAGE,0.35
2022-09-11,CUS28666853624,24,30000,USD,WEB PAGE,0.32
2022-09-11,CUS18213211224,24,35000,USD,WEB PAGE,0.235
2022-09-11,CUS30280582036,36,30000,USD,AGENCY,0.25
2022-09-11,CUS98206060548,48,25000,USD,WEB PAGE,0.175
2022-09-11,CUS55787738360,60,68000,USD,WEB PAGE,0.139
2022-09-11,CUS83666717624,24,18000,USD,WEB PAGE,0.175
2022-09-11,CUS57922184060,60,44000,USD,WEB PAGE,0.245
2022-09-11,CUS73092071236,36,23200,USD,AGENCY,0.179
2022-09-11,CUS73502066736,36,6000,USD,WEB PAGE,0.175
2022-09-11,CUS74632475148,48,65000,USD,WEB PAGE,0.145
2022-09-11,CUS60170200012,12,4000,USD,AGENCY,0.195
2022-09-11,CUS78553997536,36,7000,USD,WEB PAGE,0.295
2022-09-11,CUS24921670236,36,30000,USD,WEB PAGE,0.175
2022-09-11,CUS47392299948,48,64000,USD,AGENCY,0.155
2022-09-11,CUS82665278736,36,55000,USD,WEB PAGE,0.145
2022-09-11,CUS16135084724,24,30000,USD,WEB PAGE,0.385
2022-09-11,CUS14250658636,36,25000,USD,WEB PAGE,0.215
2022-09-11,CUS48929592548,48,29073,USD,CONTACT CENTER,0.23
2022-09-11,CUS89970805248,48,5000,USD,AGENCY,0.215
2022-09-11,CUS93519646312,12,5000,USD,AGENCY,0.295
2022-09-11,CUS83850595236,36,31000,USD,WEB PAGE,0.155
2022-09-11,CUS59004200724,24,10000,USD,WEB PAGE,0.325
2022-09-11,CUS69571201748,48,50500,USD,AGENCY,0.23
2022-09-11,CUS19659812948,48,50000,USD,WEB PAGE,0.155
2022-09-11,CUS12192046436,36,14800,USD,AGENCY,0.169
2022-09-11,CUS73129012236,36,4074,USD,WEB PAGE,0.22
2022-09-11,CUS80339116760,60,45000,USD,AGENCY,0.245
2022-09-11,CUS60034898660,60,45000,USD,WEB PAGE,0.185
2022-09-11,CUS24594480148,48,25000,USD,WEB PAGE,0.145
2022-09-11,CUS96156192648,48,16700,USD,WEB PAGE,0.245
2022-09-11,CUS51454592736,36,52103.86,USD,AGENCY,0.335
2022-09-11,CUS96364208312,12,5000,USD,WEB PAGE,0.37
2022-09-11,CUS40845684948,48,10004,USD,AGENCY,0.169
2022-09-11,CUS80007910560,60,15000,USD,WEB PAGE,0.169
2022-09-11,CUS18017271748,48,16300,USD,WEB PAGE,0.26
2022-09-11,CUS40248058648,48,70200,USD,AGENCY,0.17
2022-09-11,CUS75913430060,60,70000,USD,AGENCY,0.105
2022-09-11,CUS24421898824,24,10000,USD,WEB PAGE,0.159
2022-09-11,CUS45382519160,60,55000,USD,WEB PAGE,0.145
2022-09-11,CUS84294162360,60,63700,USD,WEB PAGE,0.105
2022-09-11,CUS51286972812,12,3500,USD,WEB PAGE,0.235
2022-09-11,CUS17913691836,36,14500,USD,WEB PAGE,0.33
2022-09-11,CUS75726360636,36,35231,USD,WEB PAGE,0.33
2022-09-11,CUS11683280336,36,12000,USD,AGENCY,0.235
2022-09-11,CUS29319763424,24,42000,USD,AGENCY,0.395
2022-09-11,CUS60925913248,48,40000,USD,AGENCY,0.149
2022-09-11,CUS63827031112,12,3050,USD,WEB PAGE,0.185
2022-09-11,CUS52941124036,36,102000,USD,AGENCY,0.15
2022-09-11,CUS78883987336,36,41000,USD,WEB PAGE,0.245
2022-09-11,CUS72407957536,36,90000,USD,WEB PAGE,0.39
2022-09-11,CUS65453826124,24,21000,USD,WEB PAGE,0.385
2022-09-11,CUS58284071748,48,2200,USD,WEB PAGE,0.105
2022-09-11,CUS95016010560,60,30000,USD,WEB PAGE,0.2
2022-09-11,CUS92798200524,24,6000,USD,WEB PAGE,0.175
2022-09-11,CUS34778866060,60,56600,USD,WEB PAGE,0.195
2022-09-11,CUS64982938760,60,45000,USD,WEB PAGE,0.105
2022-09-11,CUS92261600048,48,57300,USD,WEB PAGE,0.165
2022-09-11,CUS73864898412,12,1000,USD,WEB PAGE,0.395
2022-09-11,CUS16691043112,12,5000,USD,WEB PAGE,0.37
2022-09-11,CUS75941161512,12,8000,USD,WEB PAGE,0.225
2022-09-11,CUS63227995836,36,33280,USD,WEB PAGE,0.169
2022-09-11,CUS59225354360,60,48300,USD,WEB PAGE,0.169
2022-09-11,CUS87164359760,60,27300,USD,WEB PAGE,0.159
2022-09-11,CUS84993770224,24,9500,USD,WEB PAGE,0.225
2022-09-11,CUS62348249548,48,35000,USD,WEB PAGE,0.215
2022-09-11,CUS41697081824,24,24999,USD,AGENCY,0.375
2022-09-11,CUS61871189548,48,23500,USD,AGENCY,0.24
2022-09-11,CUS51783230960,60,23500,USD,WEB PAGE,0.24
2022-09-11,CUS68539891148,48,40000,USD,WEB PAGE,0.195
2022-09-11,CUS50426985460,60,50000,USD,WEB PAGE,0.15
2022-09-11,CUS55484420448,48,6727,USD,WEB PAGE,0.235
2022-09-11,CUS96020724824,24,4150.9,USD,WEB PAGE,0.165
2022-09-11,CUS43261967624,24,20000,USD,WEB PAGE,0.395
2022-09-11,CUS84522202048,48,69000,USD,AGENCY,0.185
2022-09-11,CUS99417735712,12,8000,USD,WEB PAGE,0.159
2022-09-11,CUS83714094348,48,5115.23,USD,CONTACT CENTER,0.179
2022-09-11,CUS80816614936,36,30000,USD,AGENCY,0.159
2022-09-11,CUS33774349536,36,65000,USD,WEB PAGE,0.145
2022-09-11,CUS66413199460,60,10848.01,USD,WEB PAGE,0.225
2022-09-11,CUS31136633760,60,41000,USD,WEB PAGE,0.105
2022-09-11,CUS68721205948,48,5000,USD,WEB PAGE,0.28
2022-09-11,CUS44839027936,36,31000,USD,WEB PAGE,0.27
2022-09-11,CUS84837401848,48,35000,USD,AGENCY,0.105
2022-09-11,CUS29711636648,48,49000,USD,WEB PAGE,0.195
2022-09-11,CUS78292425748,48,80000,USD,AGENCY,0.155
2022-09-11,CUS43391075648,48,29800,USD,AGENCY,0.23
2022-09-11,CUS80726151148,48,80000,USD,AGENCY,0.165
2022-09-11,CUS29447669660,60,59300,USD,AGENCY,0.24
2022-09-11,CUS89612001660,60,6000,USD,WEB PAGE,0.155
2022-09-11,CUS40361478260,60,40000,USD,WEB PAGE,0.145
2022-09-11,CUS85732038736,36,91160,USD,WEB PAGE,0.33
2022-09-11,CUS37476025324,24,100400,USD,AGENCY,0.36
2022-09-11,CUS56213376936,36,9000,USD,WEB PAGE,0.325
2022-09-11,CUS78115842324,24,12230,USD,AGENCY,0.149
2022-09-11,CUS89965742648,48,20000,USD,AGENCY,0.23
2022-09-11,CUS54420295112,12,3500,USD,WEB PAGE,0.165
2022-09-11,CUS82220763148,48,39472.06,USD,AGENCY,0.205
2022-09-11,CUS14326781860,60,35900,USD,WEB PAGE,0.105
2022-09-11,CUS40193948848,48,34400,USD,WEB PAGE,0.165
2022-09-11,CUS97677156536,36,60000,USD,WEB PAGE,0.275
2022-09-11,CUS96578488248,48,31671,USD,WEB PAGE,0.179
2022-09-11,CUS66343506036,36,11400,USD,AGENCY,0.25
2022-09-11,CUS43641973960,60,54700,USD,WEB PAGE,0.215
2022-09-11,CUS18032476524,24,5000,USD,AGENCY,0.395
2022-09-11,CUS56141948048,48,29000,USD,WEB PAGE,0.205
2022-09-11,CUS75919169636,36,14000,USD,WEB PAGE,0.195
2022-09-11,CUS87584432448,48,36000,USD,WEB PAGE,0.23
2022-09-11,CUS67586880860,60,66800,USD,AGENCY,0.185
2022-09-11,CUS87639187860,60,6940.03,USD,WEB PAGE,0.18
2022-09-11,CUS24703764612,12,1000,USD,WEB PAGE,0.335
2022-09-11,CUS39196843660,60,57800,USD,WEB PAGE,0.105
2022-09-11,CUS52934870236,36,2500,USD,WEB PAGE,0.235
2022-09-11,CUS48065837360,60,42890,USD,WEB PAGE,0.159
2022-09-11,CUS26774784060,60,30000,USD,WEB PAGE,0.215
2022-09-11,CUS76099331836,36,48000,USD,AGENCY,0.245
2022-09-11,CUS43746603936,36,48000,USD,WEB PAGE,0.245
2022-09-11,CUS19993333560,60,45000,USD,WEB PAGE,0.115
2022-09-11,CUS33747449160,60,33800,USD,WEB PAGE,0.165
2022-09-11,CUS28833865960,60,33000,USD,WEB PAGE,0.129
2022-09-11,CUS72799606460,60,40200,USD,WEB PAGE,0.165
2022-09-11,CUS25124899024,24,100000,USD,AGENCY,0.39
2022-09-11,CUS63460408148,48,62480.71,USD,WEB PAGE,0.155
2022-09-11,CUS95157931148,48,6000,USD,WEB PAGE,0.169
2022-09-11,CUS15773919760,60,3300,USD,WEB PAGE,0.159
2022-09-11,CUS20322290348,48,51350,USD,AGENCY,0.165
2022-09-11,CUS46231699224,24,10000,USD,AGENCY,0.24
2022-09-11,CUS19945608036,36,53200,USD,WEB PAGE,0.25
2022-09-11,CUS61905050448,48,140000,USD,AGENCY,0.145
2022-09-11,CUS12800437160,60,43497,USD,WEB PAGE,0.139
2022-09-11,CUS84080299524,24,25000,USD,WEB PAGE,0.155
2022-09-11,CUS28021383436,36,18000,USD,WEB PAGE,0.18
2022-09-11,CUS98185930460,60,29000,USD,WEB PAGE,0.2
2022-09-11,CUS98455953948,48,80000,USD,WEB PAGE,0.29
2022-09-11,CUS23161777960,60,30000,USD,WEB PAGE,0.185
2022-09-11,CUS43481841360,60,44000,USD,AGENCY,0.19
2022-09-11,CUS96368668824,24,70000,USD,AGENCY,0.175
2022-09-11,CUS36212766460,60,70000,USD,AGENCY,0.175
2022-09-11,CUS69411724536,36,55700,USD,WEB PAGE,0.22
2022-09-11,CUS63142572760,60,48000,USD,WEB PAGE,0.165
2022-09-11,CUS90802187136,36,16000,USD,AGENCY,0.24
2022-09-11,CUS37802198760,60,80000,USD,WEB PAGE,0.165
2022-09-11,CUS67403475248,48,13700,USD,WEB PAGE,0.23
2022-09-11,CUS91066733624,24,10000,USD,AGENCY,0.385
2022-09-11,CUS92141424060,60,140000,USD,WEB PAGE,0.105
2022-09-11,CUS41062887836,36,14415,USD,WEB PAGE,0.225
2022-09-11,CUS61711185460,60,48800,USD,WEB PAGE,0.145
2022-09-11,CUS42974693960,60,33200,USD,WEB PAGE,0.155
2022-09-11,CUS16172278060,60,94000,USD,AGENCY,0.215
2022-09-11,CUS26927252724,24,20000,USD,WEB PAGE,0.23
2022-09-11,CUS38931972748,48,36900,USD,AGENCY,0.149
2022-09-11,CUS98324707160,60,36900,USD,WEB PAGE,0.149
2022-09-11,CUS74416510460,60,43400,USD,WEB PAGE,0.105
2022-09-11,CUS69182683960,60,30300,USD,WEB PAGE,0.145
2022-09-11,CUS70948670760,60,30200,USD,AGENCY,0.105
2022-09-11,CUS70425082548,48,53000,USD,WEB PAGE,0.175
2022-09-11,CUS98095107160,60,10000,USD,WEB PAGE,0.105
2022-09-11,CUS74801402212,12,4000,USD,WEB PAGE,0.375
2022-09-11,CUS22061299336,36,11000,USD,WEB PAGE,0.245
2022-09-11,CUS69391009624,24,3500,USD,WEB PAGE,0.2
2022-09-11,CUS94449241560,60,16300,USD,WEB PAGE,0.145
2022-09-11,CUS96214999760,60,23500,USD,WEB PAGE,0.15
2022-09-11,CUS75371613024,24,15000,USD,WEB PAGE,0.24
2022-09-11,CUS35772922460,60,91600,USD,AGENCY,0.139
2022-09-11,CUS33708398936,36,63000,USD,WEB PAGE,0.135
2022-09-11,CUS11140714160,60,48000,USD,WEB PAGE,0.175
2022-09-11,CUS33409403212,12,6000,USD,WEB PAGE,0.19
2022-09-11,CUS60664348936,36,45000,USD,WEB PAGE,0.36
2022-09-11,CUS40442468624,24,7255,USD,AGENCY,0.39
2022-09-11,CUS74872136360,60,7255,USD,WEB PAGE,0.145
2022-09-11,CUS13123464560,60,45000,USD,WEB PAGE,0.105
2022-09-11,CUS39948916848,48,80000,USD,AGENCY,0.159
2022-09-11,CUS81172488060,60,40432.09,USD,WEB PAGE,0.159
2022-09-11,CUS58250936260,60,50750,USD,WEB PAGE,0.159
2022-09-11,CUS37000288924,24,10000,USD,WEB PAGE,0.345
2022-09-11,CUS93950269948,48,20000,USD,WEB PAGE,0.33
2022-09-11,CUS37060310124,24,5000,USD,WEB PAGE,0.38
2022-09-11,CUS69811729248,48,7000,USD,WEB PAGE,0.225
2022-09-11,CUS74853721736,36,2500,USD,WEB PAGE,0.265
2022-09-11,CUS95070299648,48,60000,USD,WEB PAGE,0.139
2022-09-11,CUS32342307660,60,12700,USD,WEB PAGE,0.165
2022-09-11,CUS47639941248,48,60000,USD,WEB PAGE,0.35
2022-09-11,CUS53685021536,36,14300,USD,WEB PAGE,0.245
2022-09-11,CUS39183672060,60,55000,USD,WEB PAGE,0.17
2022-09-11,CUS92101510636,36,35000,USD,WEB PAGE,0.335
2022-09-11,CUS53067867924,24,140000,USD,AGENCY,0.24
2022-09-11,CUS92850174936,36,34900,USD,AGENCY,0.35
2022-09-11,CUS56761541136,36,34900,USD,WEB PAGE,0.35
2022-09-11,CUS27326932860,60,70500,USD,WEB PAGE,0.185
2022-09-11,CUS22895898324,24,23000,USD,WEB PAGE,0.155
2022-09-11,CUS16926590060,60,80000,USD,WEB PAGE,0.159
2022-09-11,CUS66409114336,36,23000,USD,WEB PAGE,0.155
2022-09-11,CUS29608450448,48,43800,USD,WEB PAGE,0.165
2022-09-11,CUS33375976348,48,20000,USD,WEB PAGE,0.165
2022-09-11,CUS47170316436,36,12000,USD,WEB PAGE,0.355
2022-09-11,CUS24867439548,48,36000,USD,WEB PAGE,0.175
2022-09-11,CUS96227679360,60,101700,USD,WEB PAGE,0.165
2022-09-11,CUS46294685660,60,6000,USD,AGENCY,0.24
2022-09-11,CUS38909416360,60,6000,USD,WEB PAGE,0.205
2022-09-11,CUS37198588948,48,78600,USD,WEB PAGE,0.155
2022-09-11,CUS19426869948,48,10000,USD,WEB PAGE,0.23
2022-09-11,CUS99398185660,60,61000,USD,WEB PAGE,0.145
2022-09-11,CUS39555842124,24,20000,USD,WEB PAGE,0.375
2022-09-11,CUS62759750324,24,42000,USD,AGENCY,0.375
2022-09-11,CUS92004968848,48,70000,USD,WEB PAGE,0.355
2022-09-11,CUS63695164124,24,8000,USD,WEB PAGE,0.145
2022-09-11,CUS95575860624,24,2000,USD,WEB PAGE,0.155
2022-09-11,CUS81298114460,60,40900,USD,AGENCY,0.175
2022-09-11,CUS25166674660,60,80000,USD,WEB PAGE,0.19
2022-09-11,CUS54956112260,60,25000,USD,WEB PAGE,0.155
2022-09-11,CUS27880689160,60,40000,USD,WEB PAGE,0.155
2022-09-11,CUS79707051848,48,89000,USD,WEB PAGE,0.335
2022-09-11,CUS60358735836,36,22700,USD,WEB PAGE,0.105
2022-09-11,CUS94912419748,48,14000,USD,WEB PAGE,0.325
2022-09-11,CUS80584007736,36,23060,USD,WEB PAGE,0.24
2022-09-11,CUS89993052724,24,20120,USD,WEB PAGE,0.395
2022-09-11,CUS84096724836,36,5200,USD,WEB PAGE,0.235
2022-09-11,CUS68956595248,48,67000,USD,WEB PAGE,0.22
2022-09-11,CUS86694133160,60,59120,USD,WEB PAGE,0.135
2022-09-11,CUS20017131536,36,17500,USD,AGENCY,0.195
2022-09-11,CUS25086589160,60,18940,USD,WEB PAGE,0.145
2022-09-11,CUS49018913860,60,26000,USD,WEB PAGE,0.149
2022-09-11,CUS50880006660,60,15000,USD,WEB PAGE,0.215
2022-09-11,CUS44797298860,60,22300,USD,WEB PAGE,0.165
2022-09-11,CUS43420921636,36,631.71,USD,AGENCY,0.339
2022-09-11,CUS62612552960,60,8500,USD,WEB PAGE,0.325
2022-09-11,CUS99673633948,48,44018.83,USD,AGENCY,0.4
2022-09-11,CUS12927318636,36,17472,USD,AGENCY,0.37
2022-09-11,CUS52436438336,36,100000,USD,AGENCY,0.225
2022-09-11,CUS65694367836,36,37100,USD,WEB PAGE,0.195
2022-09-11,CUS92064269560,60,8800,USD,WEB PAGE,0.195
2022-09-11,CUS44010129448,48,35000,USD,AGENCY,0.165
2022-09-11,CUS68893012060,60,37200,USD,WEB PAGE,0.135
2022-09-11,CUS29766729960,60,45000,USD,WEB PAGE,0.155
2022-09-11,CUS26972784624,24,60000,USD,WEB PAGE,0.14
2022-09-11,CUS85944710660,60,2500,USD,WEB PAGE,0.159
2022-09-11,CUS23884984960,60,40000,USD,WEB PAGE,0.105
2022-09-11,CUS34164988160,60,79100,USD,WEB PAGE,0.125
2022-09-11,CUS95801642648,48,6000,USD,WEB PAGE,0.345
2022-09-11,CUS55579559760,60,50000,USD,WEB PAGE,0.225
2022-09-11,CUS19687214024,24,3344,USD,WEB PAGE,0.275
2022-09-11,CUS19631271860,60,14000,USD,WEB PAGE,0.215
2022-09-11,CUS90997782624,24,8000,USD,AGENCY,0.205
2022-09-11,CUS12133736860,60,30000,USD,WEB PAGE,0.195
2022-09-11,CUS49052416760,60,10650,USD,WEB PAGE,0.22
2022-09-11,CUS31382733036,36,16015,USD,WEB PAGE,0.125
2022-09-11,CUS75120389060,60,81400,USD,AGENCY,0.145
2022-09-11,CUS33194264560,60,57968,USD,WEB PAGE,0.14
2022-09-11,CUS53861663148,48,14325,USD,WEB PAGE,0.225
2022-09-11,CUS37908790248,48,3000,USD,WEB PAGE,0.175
2022-09-11,CUS28301342660,60,60000,USD,AGENCY,0.22
2022-09-11,CUS37033570060,60,60000,USD,AGENCY,0.22
2022-09-11,CUS88966277660,60,40850,USD,WEB PAGE,0.115
2022-09-11,CUS53107145236,36,27000,USD,AGENCY,0.145
2022-09-11,CUS32221565160,60,60000,USD,WEB PAGE,0.22
2022-09-11,CUS44172729048,48,24800,USD,WEB PAGE,0.165
2022-09-11,CUS43519543748,48,33700,USD,WEB PAGE,0.355
2022-09-11,CUS33191121836,36,6500,USD,WEB PAGE,0.38
2022-09-11,CUS61956299424,24,7000,USD,WEB PAGE,0.205
2022-09-11,CUS46708877548,48,20000,USD,WEB PAGE,0.24
2022-09-11,CUS16032833536,36,15000,USD,WEB PAGE,0.18
2022-09-11,CUS77634884760,60,55000,USD,WEB PAGE,0.139
2022-09-11,CUS77231342160,60,46000,USD,CONTACT CENTER,0.159
2022-09-11,CUS13050896960,60,87800,USD,WEB PAGE,0.145
2022-09-11,CUS25102068824,24,8153.5,USD,WEB PAGE,0.145
2022-09-11,CUS31848248960,60,17500,USD,AGENCY,0.155
2022-09-11,CUS65286299736,36,15000,USD,WEB PAGE,0.22
2022-09-11,CUS69134290660,60,43740,USD,WEB PAGE,0.1
2022-09-11,CUS73358328736,36,12200,USD,WEB PAGE,0.235
2022-09-11,CUS90384222260,60,80000,USD,WEB PAGE,0.149
2022-09-11,CUS29403076460,60,34240,USD,AGENCY,0.16
2022-09-11,CUS67530886124,24,5000,USD,WEB PAGE,0.155
2022-09-11,CUS66953942560,60,40000,USD,WEB PAGE,0.125
2022-09-11,CUS32285274060,60,65000,USD,WEB PAGE,0.175
2022-09-11,CUS55255577824,24,15714,USD,WEB PAGE,0.245
2022-09-11,CUS27425696948,48,53745.55,USD,AGENCY,0.31
2022-09-11,CUS90868589348,48,25000,USD,AGENCY,0.235
2022-09-11,CUS33038179624,24,18000,USD,AGENCY,0.205
2022-09-11,CUS66857681148,48,35000,USD,AGENCY,0.4
2022-09-11,CUS79089997160,60,15000,USD,WEB PAGE,0.149
2022-09-11,CUS85540726260,60,60900,USD,WEB PAGE,0.195
2022-09-11,CUS40770359560,60,20000,USD,WEB PAGE,0.13
